Customer_id,Company_Name
8688,
2352,Browseblab
2551,Riffpedia
7002,Leenti
9045,
7736,Quire
2772,Abata
4503,Yakidoo
7612,Agivu
5855,
9733,Teklist
5351,
6109,
1457,Dynazzy
1086,Wikibox
9410,Shuffletag
8017,Izio
3810,Wordpedia
8352,Twitterwire
9158,Twinder
5296,Mynte
8129,Dynazzy
4761,Browsezoom
5099,Skynoodle
8568,
6533,
9202,Browsebug
8732,Realcube
1820,Babbleblab
5485,Kazu
1013,Kwilith
5177,Katz
7397,Photospace
4344,Snaptags
4084,Ooba
4421,Jayo
4584,Skyble
3421,Shufflester
1225,
7093,Thoughtmix
9658,Eazzy
5934,Flashset
5964,Pixoboo
1370,
6867,Babbleopia
4701,Trudoo
5238,Zooveo
3539,Jaxnation
5948,Wikivu
7769,Yoveo
1346,Voomm
3629,Browsedrive
7371,Mynte
3393,Meeveo
5549,Brainlounge
5467,
3115,Kazio
2439,
4067,Thoughtbridge
4989,Photolist
5832,Devshare
6781,Zooxo
6357,Dabtype
2275,Pixoboo
5528,Innojam
2600,Yombu
4831,Gigashots
1957,Thoughtbridge
5235,Dabfeed
7002,Skyble
1150,
8455,Realcube
9898,Mudo
6142,Bluezoom
9103,Viva
7894,Fadeo
2977,Rhycero
3626,Jetwire
7786,Ozu
5967,Latz
1121,Meevee
2254,
1209,Tazzy
4274,Tazzy
5526,Rhynoodle
1423,Babbleset
3340,Brainbox
1040,Rhycero
1123,Skalith
9761,Gigazoom
2454,
8973,Skynoodle
9461,Tagchat
1391,Ailane
4729,Gabcube
7720,
8153,
5101,Miboo
5589,Yacero
4924,Yombu
6028,
8296,Mycat
6939,Oodoo
6401,
1491,Kamba
9008,
7890,Bubblemix
2278,Realbridge
9824,Babbleset
1876,Muxo
5062,Topicware
5394,Thoughtstorm
8668,Topdrive
2731,Skipfire
3853,Trudoo
6528,Feedfire
1401,Skippad
9090,Jaloo
3965,Skipstorm
1876,
3641,Photobean
4928,Twitterwire
7854,Vimbo
9467,Feedspan
5854,Zoombox
7031,Demizz
6857,
5307,Yata
5155,Devshare
4709,Voomm
3217,Topdrive
9521,Centidel
9502,Zooxo
2637,Wikizz
1292,Edgeify
8377,Twimm
1233,Plajo
5529,
2408,Blognation
6249,Mycat
7610,Demizz
2777,Viva
6592,Voonder
7552,Flipstorm
4827,Bluejam
4633,Skinix
5232,Janyx
6144,
2656,
2263,Yakitri
5443,Photobug
9824,Zoombeat
3072,Brightbean
6784,Wordtune
3619,Photospace
9626,Realfire
4683,
4584,
7996,Npath
4458,Kimia
2099,Topicstorm
7223,
7949,Minyx
8452,Lazz
1325,Edgeify
8019,Viva
8800,Topicware
7326,Buzzshare
9244,Jabbercube
5282,Leexo
6519,
5230,Jabbertype
1918,Jaxnation
2542,
2725,Gabtype
3374,Tagfeed
2307,Twiyo
3548,Mynte
4245,Ntags
1622,Browsecat
1846,Browsebug
6049,Jabbercube
2623,Yakitri
8127,Yoveo
9801,Blogtag
1610,Ntag
2754,Edgeify
4821,Realpoint
6007,Meembee
1992,Viva
4645,Oyonder
2323,
3683,
4091,Brightdog
1729,Yabox
3015,
6381,Kaymbo
6260,Rhycero
8327,Flashpoint
8666,Skajo
3524,
3356,Oozz
5456,Yodel
5652,Camido
1433,Devbug
4353,Cogidoo
6890,Kwinu
7099,Linklinks
4777,Chatterbridge
8178,Thoughtbeat
4332,Jabbertype
7755,Trudeo
5649,
2490,
7816,Oba
4754,Edgewire
7100,Youopia
5630,Cogilith
5097,Skyvu
5903,
4446,Avaveo
4284,Gevee
3645,Twitterwire
9424,Youbridge
8914,Youspan
1790,Skimia
1196,Blogspan
2949,
8448,Tagfeed
5572,Edgeify
7338,Edgewire
8416,Mydeo
7659,Zoovu
8333,Livepath
6109,
8208,Tanoodle
4190,Mybuzz
7840,Blogpad
9627,Zoomlounge
1044,Realpoint
2088,
8390,Flipstorm
3394,
6642,Skyba
5179,Vitz
6810,Oozz
2783,
